provider_id,service_id,service_name,service_cost,specialty_name
7220073,service_7220073_ginecologia_e_obstetricia_1,"['service_1', 'service_2', 'service_3', 'service_4', 'service_5', 'service_6', 'service_7', 'service_8']",74.82185076808247,ginecologia_e_obstetricia
7220073,service_7220073_ginecologia_e_obstetricia_2,"['service_1', 'service_2', 'service_3', 'service_4', 'service_5', 'service_6', 'service_7', 'service_8']",17.73691963246273,ginecologia_e_obstetricia
7220073,service_7220073_ginecologia_e_obstetricia_3,"['service_1', 'service_2', 'service_3', 'service_4', 'service_5', 'service_6', 'service_7', 'service_8']",728.5981036536159,ginecologia_e_obstetricia
7220073,service_7220073_ginecologia_e_obstetricia_4,"['service_1', 'service_2', 'service_3', 'service_4', 'service_5', 'service_6', 'service_7', 'service_8']",577.9587619640494,ginecologia_e_obstetricia
7220073,service_7220073_ginecologia_e_obstetricia_5,"['service_1', 'service_2', 'service_3', 'service_4', 'service_5', 'service_6', 'service_7', 'service_8']",6823.269886381141,ginecologia_e_obstetricia
7220073,service_7220073_ginecologia_e_obstetricia_6,"['service_1', 'service_2', 'service_3', 'service_4', 'service_5', 'service_6', 'service_7', 'service_8']",234.80992136055463,ginecologia_e_obstetricia
7220073,service_7220073_ginecologia_e_obstetricia_7,"['service_1', 'service_2', 'service_3', 'service_4', 'service_5', 'service_6', 'service_7', 'service_8']",130.76816560452698,ginecologia_e_obstetricia
7220073,service_7220073_ginecologia_e_obstetricia_8,"['service_1', 'service_2', 'service_3', 'service_4', 'service_5', 'service_6', 'service_7', 'service_8']",500.27596018180645,ginecologia_e_obstetricia
7220073,service_7220073_oftamologia_1,"['service_1', 'service_2', 'service_3']",9748.832756329391,oftamologia
7220073,service_7220073_oftamologia_2,"['service_1', 'service_2', 'service_3']",30706.358290715194,oftamologia
7220073,service_7220073_oftamologia_3,"['service_1', 'service_2', 'service_3']",1514.5572808969143,oftamologia
2941201,service_2941201_clinica_medica_1,"['service_1', 'service_2', 'service_3']",154.5134564605839,clinica_medica
2941201,service_2941201_clinica_medica_2,"['service_1', 'service_2', 'service_3']",0.8471751484118106,clinica_medica
2941201,service_2941201_clinica_medica_3,"['service_1', 'service_2', 'service_3']",9.339445485040661,clinica_medica
